id,organizationId,cardTypeId,parentScoreCardId,score,createdBy
937,83,47,15,19,Adelaide
938,49,66,50,65,Jessi
939,85,77,96,42,Sterne
940,75,1,70,46,Yasmin
941,56,53,62,32,Alphonse
942,91,78,56,84,Carole
943,15,36,30,52,Berri
944,65,23,8,33,Jessika
945,50,30,60,27,Pate
946,34,97,59,65,Nevsa
947,55,79,22,63,Shel
948,92,37,98,76,Patrizio
949,94,50,86,37,Coralie
950,98,72,61,84,Lowrance
951,60,85,26,20,Alan
952,24,91,71,10,Bea
953,51,27,68,50,Nat
954,86,89,2,25,Sabra
955,20,92,85,10,Sissy
956,43,32,52,1,Ingrid
957,78,71,99,47,Valene
958,64,23,45,10,Etti
959,20,20,66,77,Janina
960,31,45,37,2,Bertine
961,63,25,100,63,Kassey
962,43,46,46,88,Ado
963,29,67,96,69,Cally
964,100,30,70,90,Zahara
965,60,66,57,43,Philip
966,28,7,23,51,Gibb
967,79,87,7,55,Danny
968,38,51,91,28,Artie
969,6,87,77,26,Leilah
970,67,55,86,87,Nat
971,7,51,42,37,Mile
972,41,28,32,72,Constantia
973,27,65,13,4,Duffy
974,53,46,93,86,Louisette
975,17,8,81,88,Minette
976,43,97,45,6,Roy
977,6,86,95,50,Illa
978,32,35,35,68,Dorice
979,68,60,50,81,Allyson
980,49,64,99,60,Cinda
981,16,67,10,90,Harbert
982,60,93,53,7,Angus
983,33,28,67,22,Corabel
984,49,98,59,85,Burk
985,100,56,13,27,Jehanna
986,40,68,4,37,Natka
987,20,63,47,34,Alyss
988,82,46,33,69,Bibi
989,26,86,65,49,Oralie
990,24,2,31,75,Alvie
991,39,40,96,78,Cassi
992,11,92,35,88,Andrey
993,17,66,87,64,Lyndsie
994,29,5,2,8,Adolf
995,76,71,33,29,Josiah
996,21,37,47,93,Salvidor
997,35,10,2,20,Donella
998,98,22,82,64,Aldric
999,21,97,9,27,Alair
1000,58,42,36,56,Der
